metric,period,ar,value
Abonnement,Helår,2020,5835044
Abonnement,Helår,2021,5926491
Abonnement,Helår,2022,6019709
Abonnement,Helår,2023,6052428
Abonnement,Helår,2024,6097887
Abonnement,Helår,2025,6120204
Inntekter,Helår,2020,17991929
Inntekter,Helår,2021,18458144
Inntekter,Helår,2022,19051873
Inntekter,Helår,2023,19218739
Inntekter,Helår,2024,20109128
Inntekter,Helår,2025,21096159
